id,Name,Cost,Perception Entropy,Generation,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz
72,Design 72,2.0,3.3872309351432137,19,1,0.16152276487535944,0.4127751325746724,0.538816734003357,-0.40637069940567017,-0.3884870707988739,0.7559952139854431,0.33527886867523193
73,Design 73,2.0,3.394360725252141,19,1,0.1641003460381025,0.44425315202939447,0.538816734003357,-0.3931766748428345,-0.4843381643295288,0.7139840722084045,0.3178919851779938
74,Design 74,2.0,3.3964719701193733,19,1,0.1641003460381025,0.44425315202939447,0.538816734003357,-0.3937017023563385,-0.4849849343299866,0.7149375081062317,0.314090758562088
75,Design 75,2.0,3.3717535078082346,20,1,0.1641003460381025,0.44425315202939447,0.5847488630278294,-0.39317670464515686,-0.4843381941318512,0.7139841318130493,0.31789201498031616
76,Design 76,2.0,3.3859651632790566,20,1,0.14780719052027488,0.44425315202939447,0.5023556206002883,-0.41025370359420776,-0.40815120935440063,0.7449948787689209,0.33179378509521484
77,Design 77,2.0,3.3867498439695387,20,1,0.16152276487535944,0.41450986437966314,0.538816734003357,-0.40637069940567017,-0.3884870707988739,0.7559952139854431,0.33527886867523193
78,Design 78,2.0,3.3872309351432137,20,1,0.16152276487535944,0.4127751325746724,0.538816734003357,-0.40637069940567017,-0.3884870707988739,0.7559952139854431,0.33527886867523193
79,Design 79,2.0,3.367886546489671,21,1,0.14718687198481797,0.44425315202939447,0.5390370502445169,-0.41019728779792786,-0.40843215584754944,0.744892418384552,0.3317481577396393
80,Design 80,2.0,3.3717535078082346,21,1,0.1641003460381025,0.44425315202939447,0.5847488630278294,-0.39317670464515686,-0.4843381941318512,0.7139841318130493,0.31789201498031616
81,Design 81,2.0,3.3859651632790566,21,1,0.14780719052027488,0.44425315202939447,0.5023556206002883,-0.41025370359420776,-0.40815120935440063,0.7449948787689209,0.33179378509521484
82,Design 82,2.0,3.3867498439695387,21,1,0.16152276487535944,0.41450986437966314,0.538816734003357,-0.40637069940567017,-0.3884870707988739,0.7559952139854431,0.33527886867523193
83,Design 83,2.0,3.351459607768885,22,1,0.2046504715228191,0.621226632255568,0.538816734003357,-0.40624096989631653,-0.3885168135166168,0.756064236164093,0.33524593710899353
84,Design 84,2.0,3.367886546489671,22,1,0.14718687198481797,0.44425315202939447,0.5390370502445169,-0.41019728779792786,-0.40843215584754944,0.744892418384552,0.3317481577396393
85,Design 85,2.0,3.3717535078082346,22,1,0.1641003460381025,0.44425315202939447,0.5847488630278294,-0.39317670464515686,-0.4843381941318512,0.7139841318130493,0.31789201498031616
86,Design 86,2.0,3.378806888983048,22,1,0.16144195539355424,0.4138083576722394,0.5390370502445169,-0.41032639145851135,-0.40840059518814087,0.7448237538337708,0.3317811191082001
87,Design 87,2.0,3.3404349669688904,23,1,0.14718687198481797,0.4569235084704168,0.5870149710018135,-0.4104362726211548,-0.40697181224823,0.7453263998031616,0.33227184414863586
88,Design 88,2.0,3.351459607768885,23,1,0.2046504715228191,0.621226632255568,0.538816734003357,-0.40624096989631653,-0.3885168135166168,0.756064236164093,0.33524593710899353
