id,Name,Generation,Cost,Perception Entropy,Perception Coverage,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz,s2_type,s2_x,s2_y,s2_z,s2_qw,s2_qx,s2_qy,s2_qz,s3_type,s3_x,s3_y,s3_z,s3_qw,s3_qx,s3_qy,s3_qz,s4_type,s4_x,s4_y,s4_z,s4_qw,s4_qx,s4_qy,s4_qz
6793,Design 6793,98,3000.0,4.525535256946979,0.8391376451077943,2,-0.1470843973226594,0.17937324570977445,0.18814894675513372,0.9409751296043396,-0.3234003186225891,-0.06270205974578857,0.07775874435901642,2,-0.02023937465100396,0.00435090977826421,0.3755544581148769,-0.007908663712441921,-0.9486068487167358,0.3163333535194397,0.003975218161940575,2,0.20547171326298028,0.1789252364754504,0.19880947309281874,0.02161887101829052,-0.007070978172123432,0.29172730445861816,-0.9562311172485352,2,0.0,0.0,0.1943223903210528,-0.6997516751289368,-1.2938622395708421e-09,0.0,0.7143861651420593,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6794,Design 6794,98,1500.0,6.610893143041292,0.6479430802974375,2,-0.16517645814952855,0.14091430279565953,0.210343343247313,0.21126914024353027,0.9758653044700623,-0.03468368574976921,0.04300375282764435,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.18033733744223912,-2.5487737504032056e-05,0.19409103901132582,0.006045040208846331,0.004719261080026627,-0.13167428970336914,-0.9912633299827576,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6795,Design 6795,98,2250.0,5.102326862653748,0.7823784304285026,2,-0.147089689367234,0.1791803465312019,0.20899341791355597,0.9448727965354919,-0.3144749701023102,-0.05944071710109711,0.06919301301240921,2,-0.0041298601331632625,0.10815383346151777,0.3653668308084416,-8.15931853139773e-05,-0.9448583126068115,0.3274354636669159,0.005369437858462334,2,0.20058142423811587,0.15210474370581129,0.2571802140554243,0.021747499704360962,-0.005061546806246042,0.2788117229938507,-0.9600861668586731,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6796,Design 6796,98,7500.0,3.1826763565571055,0.968651366821805,2,-0.013842749574799766,0.14160727716816618,0.21976102126715824,-0.8632519841194153,-0.4572738707065582,-0.03562283143401146,-0.2107785940170288,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.0011374214172712813,-0.0020918237628695115,0.20068323929133658,-0.9822182655334473,-0.061530910432338715,0.07107438892126083,0.1625102162361145,2,-0.039776869251694304,-2.121254709523567e-05,0.1866600155527754,-0.9935699701309204,1.2458780474844389e-05,0.03992114216089249,0.10594809055328369,1,-2.8472280677426594e-05,5.131881671062785e-06,0.19851068186520526,0.06732136011123657,-0.8154507279396057,0.5746605396270752,-0.0165313258767128
6797,Design 6797,98,4500.0,3.966325089155215,0.9010324720483603,2,-0.17804616426096828,0.17672879942828296,0.21089744222314313,0.37093573808670044,0.9240739345550537,0.046291057020425797,0.07969513535499573,2,-0.0006829940027800155,0.10375392867932937,0.18718858342937142,-0.07905728369951248,-0.9632102847099304,0.2566949129104614,-0.009145587682723999,1,0.011461689454291268,-0.0008014837136433306,0.3862662187855621,-0.1245778277516365,-5.59982368031342e-07,-0.0006348061724565923,-0.9922096133232117,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6798,Design 6798,98,5250.0,3.314744858866062,0.9506232279462901,2,-0.14708460333740775,0.1732752215035884,0.2088720653368411,0.9453245401382446,-0.31279733777046204,-0.061006687581539154,0.06926420331001282,2,-0.0041298601331632625,0.10815383346151777,0.3792155475065095,-8.11808422440663e-05,-0.9454065561294556,0.32585203647613525,0.005181057844310999,2,0.19063518711516847,0.15407842682353493,0.25884667631916547,0.020800212398171425,-0.007180149666965008,0.2957029640674591,-0.9550264477729797,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6799,Design 6799,98,6000.0,3.1992140235360527,0.9593430695982453,2,-0.14708452390984406,0.17941586851879396,0.18814894675513372,0.9420146346092224,-0.32083839178085327,-0.05554848536849022,0.08115182816982269,2,0.00570371883949198,0.10928834994083242,0.36553987034156743,-0.00809627864509821,-0.966349720954895,0.25706079602241516,0.0047453357838094234,2,0.2049070422774002,0.1784728912580138,0.19859731263722455,0.023609140887856483,-0.007765583228319883,0.29149651527404785,-0.9562489986419678,2,0.0,1.3133129757082536e-08,0.18941928989054416,-0.6477582454681396,2.9260390874696895e-06,-1.3773374121228699e-06,0.7618459463119507,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6800,Design 6800,98,10500.0,2.892888620272315,0.9906382068153854,2,-0.013316621062353966,0.14160727716816618,0.2171008204148851,-0.8737319111824036,-0.43838196992874146,-0.030545087531208992,-0.20852062106132507,1,-0.004245391838821841,0.007052494053287524,0.1898714683615658,-0.020855149254202843,-0.0223460141569376,0.9989458322525024,0.03424825891852379,1,-0.0019294260829234525,-0.0020918237628695115,0.20068323929133658,-0.9820307493209839,-0.061871252954006195,0.07291510701179504,0.1626988798379898,2,-0.039776869251694304,-0.014785368191305442,0.18744450520126865,-0.9925121665000916,8.006276766536757e-05,0.038660962134599686,0.11586615443229675,1,-2.8472280677426594e-05,5.131881671062785e-06,0.19851068186520526,0.06732136011123657,-0.8154507279396057,0.5746605396270752,-0.0165313258767128
6801,Design 6801,98,8250.0,2.9598946565006115,0.9835232439950784,2,-0.013417514246919691,0.14160727716816618,0.2173113736668005,-0.8670346736907959,-0.4477219879627228,-0.03182969242334366,-0.2162930816411972,2,-0.004245391838821841,0.007052494053287524,0.18642104910914611,-0.021454332396388054,0.00029451382579281926,0.9989510178565979,0.04045629873871803,1,-0.001929773029558217,-0.0020918237628695115,0.20068323929133658,-0.979602575302124,-0.06584258377552032,0.07759541273117065,0.17327015101909637,2,-0.036816777670005636,0.00011367874935335512,0.18739724807414157,-0.992550253868103,8.012657781364396e-05,0.03763493895530701,0.11587831377983093,1,-2.8472280677426594e-05,0.02728704263678893,0.19851068186520526,0.06732136011123657,-0.8154507279396057,0.5746605396270752,-0.0165313258767128
6802,Design 6802,98,3750.0,4.510107507556826,0.8559888728401006,2,-0.182265149524257,0.046490909812169925,0.191429914226424,0.21043992042541504,0.9755403399467468,-0.01713099516928196,0.06117568537592888,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.011338574086168179,-0.00023111452871084955,0.3863892726288467,-0.01222918089479208,0.0002946178719867021,-0.00035142232081852853,-0.9999251365661621,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6803,Design 6803,98,750.0,8.21665648674971,0.5284331033007008,2,-0.18389608967704657,0.04895561817466898,0.18813044504400084,0.2428450584411621,0.9683075547218323,-0.02130652405321598,0.05433949455618858,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6804,Design 6804,98,3000.0,4.539085560645059,0.8384421976140801,2,-0.17812797869159755,0.17937324570977445,0.22113013130779013,0.9413188695907593,-0.322486013174057,-0.06252479553222656,0.07753890752792358,2,-0.019568011487446767,0.00435090977826421,0.3755544581148769,-0.007903565652668476,-0.9479953646659851,0.3181614279747009,0.00397265562787652,2,0.20547171326298028,-0.01211950731187457,0.19066546182034555,0.02161887101829052,-0.007070978172123432,0.29172730445861816,-0.9562311172485352,2,0.0,0.0,0.1943223903210528,-0.6997516751289368,-2.0290260790978287e-11,0.0,0.7143861651420593,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6805,Design 6805,98,1500.0,6.621707333779952,0.6467126731931739,2,-0.1836723181425268,0.05474019281158162,0.2109528396032612,0.21870116889476776,0.9749612808227539,-0.01942833699285984,0.035252645611763,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.055542453673975554,0.18642104910914611,0.0,3.05902176478412e-05,0.9587149024009705,-0.28436902165412903,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6806,Design 6806,98,2250.0,5.102571320003165,0.7832343658053816,2,-0.1470772670744101,0.1794466534986703,0.18877524749346908,0.9432819485664368,-0.3168010115623474,-0.05479952692985535,0.0827844887971878,2,0.005958172153577773,0.0020016345641826585,0.3755544581148769,-0.008521410636603832,-0.9513850212097168,0.3078611195087433,0.003939658869057894,2,0.1915747664877027,0.16228844465884654,0.18837134355348067,0.020638756453990936,0.004271848127245903,0.28667792677879333,-0.9577951431274414,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6807,Design 6807,98,7500.0,3.183244497809482,0.968651366821805,2,-0.013842749574799766,0.14160727716816618,0.21976102126715824,-0.8573355078697205,-0.45433637499809265,-0.03539756312966347,-0.23937681317329407,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,-0.0011374214172712813,-0.0020918237628695115,0.20068323929133658,-0.9826710224151611,-0.061542294919490814,0.0711071565747261,0.15973088145256042,2,-0.039776869251694304,-2.1214680616121358e-05,0.1866600155527754,-0.993588387966156,1.59648170665605e-05,0.03950357064604759,0.10593190789222717,1,-2.8472280677426594e-05,5.131881671062785e-06,0.19851068186520526,0.06732136011123657,-0.8154507279396057,0.5746605396270752,-0.0165313258767128
6808,Design 6808,98,4500.0,3.966691218292596,0.9006045043599208,2,-0.17804616426096828,0.17675383277512421,0.21089744222314313,0.37097615003585815,0.9241746068000793,0.046296101063489914,0.07832501083612442,2,-0.0006829940027800155,0.10358451375093468,0.18718858342937142,-0.07905653119087219,-0.963201105594635,0.25669246912002563,-0.010128493420779705,1,0.009357899181852779,-0.0008014837136433306,0.37830808363535257,0.829559326171875,-3.1515983778263035e-07,0.00010525705147301778,-0.5584186911582947,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6809,Design 6809,98,5250.0,3.4492738759491552,0.9373562296046648,2,-0.1457448546590578,0.17920988834094922,0.18815554673615403,0.9347262382507324,-0.3427039682865143,-0.05491294339299202,0.07632424682378769,2,0.006041210865759164,0.0016526639204950636,0.3762796049334641,0.0008414078038185835,-0.9496693015098572,0.3059442639350891,-0.06727284938097,2,0.1940453136831481,0.16186366353306206,0.18849969020096985,0.021872876212000847,0.007915805093944073,0.2951314449310303,-0.9551734328269958,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.18642104910914611,0.9994655847549438,-0.0003538172459229827,-0.03268730640411377,0.0
