Generation,Cost,Perception Entropy,Coverage,s0_type,s0_x,s0_y,s0_z,s0_qw,s0_qx,s0_qy,s0_qz,s1_type,s1_x,s1_y,s1_z,s1_qw,s1_qx,s1_qy,s1_qz
65,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,1.0,14.806031510785775,0.1387434554973822,1,0,-0.16458912023727756,0.005482879670297161,0.18642104910914611,-0.6673032641410828,-0.252592533826828,-0.6640399098396301,-0.2235046625137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1.0,14.806031510785775,0.1387434554973822,1,0,-0.16458912023727756,0.005482879670297161,0.18642104910914611,-0.6673032641410828,-0.252592533826828,-0.6640399098396301,-0.2235046625137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,1.0,14.806031510785775,0.1387434554973822,1,0,-0.16458912023727756,0.005482879670297161,0.18642104910914611,-0.6673032641410828,-0.252592533826828,-0.6640399098396301,-0.2235046625137329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16237548351578174,0.005351104801160814,0.18824431275753023,-0.6684668660163879,-0.25430887937545776,-0.6620640754699707,-0.2239423543214798,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1.0,14.809229082531399,0.1382198952879581,1,0,-0.16243193094117986,0.005356885453790831,0.18642104910914611,-0.6678423881530762,-0.2545088827610016,-0.6625525951385498,-0.22413325309753418,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,1.0,14.809229082531399,0.1382198952879581,1,0,-0.1624552642740939,0.005351104801160814,0.18823659920552924,-0.6685390472412109,-0.2542552053928375,-0.6621630191802979,-0.2234947830438614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,inf,inf,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
